Code, Name, Precision, Recall, Accuracy
005930,SamsungElec,0.55,0.67,0.50
017670,SKTelecom,0.46,1.00,0.59
035420,NAVER,0.64,0.88,0.67
066570,LGELECTRONICS,0.67,0.36,0.47
006800,MIRAE ASSET DAEWOO,0.69,1.00,0.69
