Code, Name, Precision, Recall, Accuracy
005930,SamsungElec,0.60,1.00,0.60
017670,SKTelecom,0.40,1.00,0.40
035420,NAVER,0.75,1.00,0.80
066570,LGELECTRONICS,0.75,0.75,0.60
006800,MIRAE ASSET DAEWOO,0.60,1.00,0.60
