Code, Name, Precision, Recall, Accuracy
005930,SamsungElec,0.50,1.00,0.50
017670,SKTelecom,0.67,1.00,0.67
035420,NAVER,1.00,1.00,1.00
066570,LGELECTRONICS,0.75,1.00,0.75
006800,MIRAE ASSET DAEWOO,0.75,1.00,0.75
